name,id,x,y,confounder_1,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40
Henry,HEN,15.172917,-83.75374,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,NIC,-83.697565,-25.570965,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,AND,23.006225,63.152296,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet,JAN,148.910417,-72.829458,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,BEN,-161.687925,53.991669,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,CAT,-157.451274,-10.145663,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol,CAR,-19.017867,10.875009,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel,SAM,163.762935,28.338104,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patricia,PAT,10.906367,78.378143,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,MAT,-36.721886,82.467131,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis,DEN,33.010856,79.385914,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura,LAU,24.640706,-54.050959,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca,REB,-74.701624,41.929437,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,PA1,22.343631,-14.412818,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,ANT,83.405047,3.651229,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald,RON,-131.077359,-24.328063,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,BRA,-106.278246,43.736474,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,MAR,116.305264,22.795605,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn,CA1,-93.734228,18.444434,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley,ASH,171.652861,55.812992,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,BE1,-48.234011,-0.037965,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,MIC,71.538497,88.019624,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,DOU,72.063728,72.195652,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa,MEL,-134.274358,75.050445,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolyn,CA2,111.90138,-46.203378,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen,KAT,-156.863651,19.709836,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara,BAR,120.702124,-25.326582,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,AN1,-101.574064,67.056223,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,NI1,6.735079,19.779141,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,GAR,-6.475937,58.352081,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,AN2,-159.0991,-67.134025,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan,RYA,-41.9874,43.114593,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca,RE1,-42.109745,-2.699084,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,NI2,-131.165812,-0.869366,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry,LAR,-2.452892,17.235474,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,JES,-37.15043,-35.189725,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,MA1,110.064388,22.122588,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha,SA1,45.801441,-22.913866,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,JE1,-142.122592,66.609956,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,KEV,13.329349,-27.329245,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine,KA1,-169.45709,78.713064,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara,BA1,-176.449184,-0.680254,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,TYL,-153.889119,75.214281,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,ALE,-160.785319,85.884791,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory,GRE,114.917772,14.522027,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria,MA2,151.61884,63.570718,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria,MA3,-57.82042,-61.825175,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,DAV,138.957075,-78.163147,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca,RE2,146.91639,-26.205401,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,TY1,-119.41218,4.385069,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela,PAM,-69.431766,66.564528,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward,EDW,163.091565,40.719411,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debra,DEB,-89.159763,-41.906232,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard,RIC,103.920493,-20.609693,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty,BET,29.014844,88.2471,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura,LA1,147.424725,-21.866876,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,BR1,-7.180288,79.939214,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth,ELI,-98.477958,14.910441,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles,CHA,144.659403,27.301549,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy,DOR,145.24951,74.416759,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,MA4,98.448882,-66.869896,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,SCO,-165.545371,9.42646,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,BRI,99.350865,50.820285,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly,KIM,82.948887,-43.380138,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly,KI1,-44.888928,-34.984297,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,AN3,158.397449,-13.764214,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric,ERI,-169.877077,89.43436,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon,SHA,-154.475574,-43.428166,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,HE1,-2.701314,-25.978671,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David,DA1,146.416489,57.487021,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis,DE1,-160.550548,-36.175346,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol,CA3,45.046883,-73.53725,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John,JOH,-119.681547,31.733787,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan,RY1,-147.810458,-36.940413,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,JAM,96.451451,66.903925,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon,SH1,-150.124515,-38.915729,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry,JER,7.710613,-64.378184,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,MA5,-117.604524,-67.435211,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,AMA,84.238105,-46.985497,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brenda,BRE,93.44541,-51.041072,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica,JE2,-3.255523,-21.299669,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard,RI1,-149.037266,-43.962637,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven,STE,-20.201726,6.187954,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,DO1,-37.073351,45.36263,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linda,LIN,46.007518,33.919163,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debra,DE2,118.466371,-54.577506,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,NI3,24.571096,-47.129949,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty,BE2,19.101472,-19.705189,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron,AAR,-17.183381,26.610111,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,MA6,-35.205522,-5.172912,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew,AN4,-43.846653,45.674918,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet,JA1,86.617124,-69.238679,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald,DON,40.811332,-23.298762,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen,KA2,-14.624944,9.622762,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VIR,-113.925929,12.383463,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynthia,CYN,-19.470327,18.67059,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty,BE3,20.899006,69.089416,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory,GR1,-21.356497,50.639134,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,AM1,111.185573,-15.610799,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,GEO,129.736712,51.007368,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,AL1,-176.152161,-19.648758,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael,MI1,-138.048231,-34.64231,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary,MA7,121.907982,-32.191878,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,BR2,110.969518,-70.102949,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karen,KAR,-31.820545,-23.560195,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,MA8,-122.427926,66.574648,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine,CHR,5.68108,-67.096049,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirley,SHI,-101.950723,36.888207,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry,JE3,67.46979,6.587506,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda,AM2,-102.723831,87.840152,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer,JEN,110.78258,-72.811854,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,JA2,-61.143716,-65.487603,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,NI4,-81.505012,-20.726904,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
