feature,Y,N,A,B,C,D,E
F1,0,14,,,,,
F2,8,6,,,,,
F3,0,14,,,,,
F4,0,14,,,,,
F5,0,14,,,,,
F6,1,13,,,,,
F7,4,10,,,,,
F8,3,11,,,,,
F9,3,11,,,,,
F10,13,1,,,,,
F11,12,2,,,,,
F12,13,0,,,,,
F13,8,6,,,,,
F14,14,0,,,,,
F15,6,8,,,,,
F16,4,10,,,,,
F17,9,4,,,,,
F18,3,0,,,,,
F19,13,1,,,,,
F20,2,12,,,,,
F21,2,12,,,,,
F22,14,0,,,,,
F23,4,10,,,,,
F24,0,14,,,,,
F25,0,14,,,,,
F26,14,0,,,,,
F27,,,0,0,3,11,0
F28,,,0,6,0,7,
F29,0,14,,,,,
F30,14,0,,,,,
F31,,,1,4,1,8,0
F32,,,1,3,9,1,
F33,13,1,,,,,
F34,,,2,11,1,,
F35,,,0,2,10,2,
F36,0,13,,,,,
