feature,Y,N,A,B,C,D,E
F1,9,70,,,,,
F2,9,70,,,,,
F3,10,69,,,,,
F4,15,64,,,,,
F5,5,74,,,,,
F6,5,72,,,,,
F7,52,27,,,,,
F8,28,51,,,,,
F9,28,51,,,,,
F10,26,53,,,,,
F11,14,65,,,,,
F12,63,16,,,,,
F13,64,15,,,,,
F14,13,64,,,,,
F15,8,63,,,,,
F16,17,57,,,,,
F17,38,23,,,,,
F18,15,51,,,,,
F19,27,46,,,,,
F20,24,46,,,,,
F21,16,53,,,,,
F22,29,42,,,,,
F23,26,35,,,,,
F24,26,42,,,,,
F25,46,24,,,,,
F26,30,37,,,,,
F27,,,5,11,9,39,0
F28,,,23,34,4,8,
F29,3,60,,,,,
F30,32,36,,,,,
F31,,,11,1,26,12,20
F32,,,31,10,10,17,
F33,16,43,,,,,
F34,,,8,54,10,,
F35,,,11,18,31,11,
F36,11,39,,,,,
