id,name,x,y,p_age,p_sex,caretaking,digital_entertainment,drop_off_pick_up,eating_cooking,entertainment,errands,exercising,household,resting,self_care,shopping,sleeping,socializing,working,coworking,gastronomy,home_office,working_studying,waiting,online_shopping,leisure,overnight_stay,studying,chores
100001,participant 100001,2586078.5444559087,1220168.97207269,age_18_40,female,0.011333333333333334,0.012,0.0033333333333333335,0.018666666666666668,0.043333333333333335,0.004,0.008666666666666666,0.008,0.356,0.004,0.006,0.248,0.0013333333333333333,0.22333333333333333,0,0,0,0,0,0,0,0,0,0
100002,participant 100002,2634929.5327213975,1243989.1688033033,age_41_55,female,0.02894438138479001,0.06384790011350738,0.0031214528944381384,0.060158910329171394,0.024971623155505107,0.0022701475595913734,0.01872871736662883,0.022985244040862655,0.017309875141884222,0.043416572077185016,0.014472190692395005,0.3822360953461975,0.0405788876276958,0.07548240635641316,0.00340522133938706,0.0340522133938706,0.1177639046538025,0,0.0019863791146424517,0,0,0,0.015607264472190692,0
100003,participant 100003,2631654.515438217,1241205.318153461,age_41_55,female,0.014759192128430864,0.06784049715173485,0,0.1020196789228379,0.005696530295183843,2.589331952356292e-4,0.002330398757120663,0.07327809425168307,0.050491973070947695,0.06033143448990161,0.010875194199896427,0.33013982392542723,0.03158984981874676,0.10952874158467116,0,0.015018125323666495,0.017348524080787155,0,2.589331952356292e-4,7.767995857068876e-4,0,0,0,0
100004,participant 100004,2626406.0860420987,1198086.4216195156,age_18_40,female,0.026359693026359692,0.025025025025025027,0.004004004004004004,0.1404738071404738,0.06506506506506507,0.007674341007674341,0.033700367033700364,0.11444778111444778,0.017350684017350685,0.020353687020353686,0.014014014014014014,0.331664998331665,0.0373707040373707,0.09876543209876543,0,0.022022022022022022,0,0,0.009342676009342675,0,0,0,0,0
100005,participant 100005,2609860.355664657,1266563.717270535,age_56_65,male,0.007231703789412786,0,0.0014463407578825572,0.06884582007520972,0.006653167486259763,0.026612669945039052,0.003181949667341626,0.01417413942724906,0.08446630026034134,0.03413364188602835,0.008678044547295342,0.35377494937807347,0.048018513161700895,0.21319062771188893,0.01041365345675441,0.04194388197859416,0.021405843216661846,0,0.004339022273647671,0,0,0,0,0
100006,participant 100006,2600338.114683625,1208229.5448753939,age_56_65,female,0.009275959804174182,0.02035557845916001,0,0.08296830713733575,0.014429270806493172,7.729966503478485e-4,0.013140943055913424,0.011852615305333677,0.04741046122133471,0.052821437773769644,0.012110280855449627,0.35841278021128575,0.0760113372842051,0.054625096624581294,0.13682040711156918,0.018036588508116465,0,0,0.011079618654985829,0,0,0,0,0
100007,participant 100007,2686759.965260074,1213561.9919338017,age_18_40,female,0,0,0,0.13097155126140633,0,0,0,0,0,0,0.015029522275899088,0,0,0,0,0,0,0.18625872249060654,0.0042941492216854536,0,0.2163177670424047,0.44605475040257647,0,0
100008,participant 100008,2689022.839767847,1285584.4213148777,age_56_65,female,0,0.01678951678951679,0,0.05118755118755119,0.03276003276003276,0.005733005733005733,0.029484029484029485,0.027436527436527438,0.020884520884520884,0.04791154791154791,0.011056511056511056,0.36609336609336607,0.014742014742014743,0.06183456183456183,0.011056511056511056,0.029893529893529894,0.06838656838656838,0,0.004914004914004914,0,0,0,0.0036855036855036856,0
100009,participant 100009,2680777.6014507096,1252921.4146656566,age_56_65,female,0,0.06572295247724974,0,0.11375126390293225,0.04802831142568251,5.055611729019212e-4,0.037917087967644085,0.05611729019211325,0.012639029322548028,0.06117290192113246,0.005561172901921132,0.36754297269969666,0.033367037411526794,0.04196157735085945,0.019211324570273004,0.04853387259858443,0.01820020222446916,0,0.012639029322548028,0,0,0,0.00910010111223458,0
100010,participant 100010,2626406.0860420987,1198086.4216195156,age_41_55,male,0,0.15470171890798787,0,0.07305358948432761,0,0.006572295247724975,0,0,0,0.010364004044489384,0.004044489383215369,0.2874115267947422,0,0.15242669362992922,0,0,0,0.03943377148634985,0.0012639029322548028,0,0.16557128412537916,0.042467138523761376,0,0.06243680485338726
100011,participant 100011,2668048.7267201934,1257703.6535336624,age_18_40,female,0,0,0,0.015232974910394265,0,0.2682198327359618,0,0,0,0,0.0047789725209080045,0,0,0,0,0,0,0.16487455197132617,0.0035842293906810036,0,0.25,0.29330943847072877,0,0
100012,participant 100012,2679750.9225934455,1246441.5828564656,age_18_40,female,0,0,0,0,0,0,0,0,0,0,0.0031082226617688614,0,0,0,0,0,0,0.2189884148064425,0,0,0.5360271263068663,0.2418762362249223,0,0
100014,participant 100014,2616051.8418971747,1177417.7731337382,age_41_55,male,0,0.11425307055127107,0,0.10711225364181662,0.025135675521279634,0,0,0.0614110254213082,0.005427020851185376,0,0.010568409025992574,0.33676092544987146,0.014852899171665239,0.14024564410168525,0,0.017423593259068837,0,0,0.0028563267637817767,0,0,0,0.008283347614967152,0
100015,participant 100015,2613335.819765948,1185627.5616645645,age_18_40,female,0,0,0,0.0865430337612934,0.04850213980028531,0.015216357584403234,0.0475511174512601,0,0.018544935805991442,0.05515929624346172,0.008559201141226819,0.34427009034712314,0.10889205896338564,0,0.2187351402757965,0.03185924869234427,0,0,0.0038040893961008085,0,0,0,9.510223490252021e-4,0
100016,participant 100016,2605162.515523937,1174681.8458724169,age_18_40,male,0,0,0,0.0603448275862069,0,0.006226053639846743,0,0,0,0,0.01053639846743295,0,0,0,0,0,0,0.3251915708812261,0.004310344827586207,0,0.257183908045977,0.33620689655172414,0,0
100017,participant 100017,2691369.6506658164,1236884.3850504898,age_18_40,male,0,0.05894995394534848,3.0703101013202335e-4,0.01750076757752533,0.01381639545594105,3.0703101013202335e-4,0.04513355848940743,0.009517961314092724,0.05618667485416027,0.01903592262818545,0.003070310101320233,0.4000614062020264,0.05280933374270801,0.23856309487258212,0,0.02026404666871354,0.009824992324224747,0,3.0703101013202335e-4,0.0021492170709241634,0,0,0.00552655818237642,0
100018,participant 100018,2614116.7013231814,1178262.6345892427,age_56_65,male,0,0,0.00603708495040966,0.13152220784821045,0.01207416990081932,0.10866752910737387,0.004312203536006899,0,0.08495040965933592,0.01078050884001725,0.01250539025442001,0.3152220784821044,0.086244070720138,0,0.0944372574385511,0.009055627425614488,0,0,0.008624407072013798,0,0,0,0,0
100019,participant 100019,2689022.839767847,1285584.4213148777,age_18_40,female,0.003115264797507788,0.023141967067200713,0,0.03426791277258567,0.08455718736092568,0.08811748998664887,0.015131286159323543,0.010235870048954161,0.0258121940364931,0.01602136181575434,0.006675567423230975,0.4098798397863818,0.10013351134846461,0.14686248331108145,0.017356475300400534,0.016911437472185136,0,0,0.0017801513128615932,0,0,0,0,0
100020,participant 100020,2683057.39878745,1264651.3896399955,age_18_40,female,0.1578640210096294,0.023344032681645754,0,0.09950393930551503,0.030930843303180626,0.036766851473592065,0.011380215932302306,0.01925882696235775,0.02159323023052232,0.029180040852057193,0.013422818791946308,0.3411146775605486,0.10213014298220018,0.018967026553837175,0,0.028304639626495477,0,0,0.013422818791946308,0,0,0,0,0
100021,participant 100021,2681948.462718665,1250225.7658723684,age_56_65,male,0,0.03677663601946998,0,0.0905895078420768,0,0.010005408328826392,0,0,0,0.01568415359653867,0.0048674959437533805,0.206598161168199,0,0.19605191995673338,0,0,0,0.12060573282855598,2.7041644131963225e-4,0,0.1760411032990806,0.12898864250946457,0,0.01352082206598161
100022,participant 100022,2624647.8837234993,1257807.776279986,age_18_40,female,0.0015432098765432098,0.037037037037037035,0,0.037037037037037035,0.08950617283950617,0,0.06018518518518518,0.023148148148148147,0.032407407407407406,0.013888888888888888,0.006172839506172839,0.3101851851851852,0.10030864197530864,0.007716049382716049,0,0,0,0,0.010802469135802469,0,0,0,0.040123456790123455,0
100023,participant 100023,2688757.3859744514,1253302.2100863198,age_18_40,female,0,0,0,0.12551768079006054,0.057980248486779226,0,0.03185727938834024,0,0.0063714558776680474,0.028671551449506213,0.003822873526600828,0.3434214718063077,0.07868748008920039,0,0,0.028990124243389613,0,0,0.005734310289901242,0,0,0,0.2035680152914941,0
100024,participant 100024,2695068.3423541416,1288830.336188192,age_41_55,female,0,0,0,0.09297177642501384,0,0.052296624239070284,0,0,0,0,0.01162147205312673,0,0,0,0,0,0,0.22883231876037632,0.001936912008854455,0,0.2542888765910349,0.3580520199225235,0,0
